id,name,handler,enabled,status,source,notes,frame
25,MIN,MetaArithmetic,True,current,runtime_meta_dispatch.bas,,"T-2=Arg1, T-1=Arg2, T=Arg0"
26,MAX,MetaArithmetic,True,current,runtime_meta_dispatch.bas,,"T-2=Arg1, T-1=Arg2, T=Arg0"
27,ABS_ARG2,MetaArithmetic,True,current,runtime_meta_dispatch.bas,,"T-2=Arg1, T-1=Arg2, T=Arg0"
28,NEG_ARG2,MetaArithmetic,True,current,runtime_meta_dispatch.bas,,"T-2=Arg1, T-1=Arg2, T=Arg0"
29,CMP,MetaArithmetic,True,current,runtime_meta_dispatch.bas,,"T-2=Arg1, T-1=Arg2, T=Arg0"
30,RANDOM_INT_RANGE,MetaArithmetic,True,current,runtime_meta_dispatch.bas,,"T-2=Arg1, T-1=Arg2, T=Arg0"
31,RANDOM_SEED,MetaArithmetic,True,current,runtime_meta_dispatch.bas,,"T-2=Arg1, T-1=Arg2, T=Arg0"
32,RANDOM_SCALED,MetaArithmetic,True,current,runtime_meta_dispatch.bas,,"T-2=Arg1, T-1=Arg2, T=Arg0"
33,DIV_UNSIGNED_ALIAS,MetaArithmetic,True,current,runtime_meta_dispatch.bas,,"T-2=Arg1, T-1=Arg2, T=Arg0"
34,DIV_SIGNED,MetaArithmetic,True,current,runtime_meta_dispatch.bas,,"T-2=Arg1, T-1=Arg2, T=Arg0"
35,MOD_UNSIGNED_ALIAS,MetaArithmetic,True,current,runtime_meta_dispatch.bas,,"T-2=Arg1, T-1=Arg2, T=Arg0"
36,MOD_SIGNED,MetaArithmetic,True,current,runtime_meta_dispatch.bas,,"T-2=Arg1, T-1=Arg2, T=Arg0"
40,SIN_SCALED_DEG,MetaMath,True,current,runtime_meta_dispatch.bas,,Arg1/Arg2 depending service
41,COS_SCALED_DEG,MetaMath,True,current,runtime_meta_dispatch.bas,,Arg1/Arg2 depending service
42,TAN_SCALED_DEG,MetaMath,True,current,runtime_meta_dispatch.bas,,Arg1/Arg2 depending service
43,HYPOTENUSE,MetaMath,True,current,runtime_meta_dispatch.bas,,Arg1/Arg2 depending service
44,ASIN_DEG,MetaMath,True,current,runtime_meta_dispatch.bas,,Arg1/Arg2 depending service
45,ACOS_DEG,MetaMath,True,current,runtime_meta_dispatch.bas,,Arg1/Arg2 depending service
46,SQRT,MetaMath,True,current,runtime_meta_dispatch.bas,,Arg1/Arg2 depending service
47,SINH_SCALED,MetaMath,True,current,runtime_meta_dispatch.bas,,Arg1/Arg2 depending service
48,COSH_SCALED,MetaMath,True,current,runtime_meta_dispatch.bas,,Arg1/Arg2 depending service
49,TANH_SCALED,MetaMath,True,current,runtime_meta_dispatch.bas,,Arg1/Arg2 depending service
52,ASINH_SCALED,MetaMath,True,current,runtime_meta_dispatch.bas,,Arg1/Arg2 depending service
53,ACOSH_SCALED,MetaMath,True,current,runtime_meta_dispatch.bas,,Arg1/Arg2 depending service
54,ATANH_SCALED,MetaMath,True,current,runtime_meta_dispatch.bas,,Arg1/Arg2 depending service
55,LN_SCALED,MetaMath,True,current,runtime_meta_dispatch.bas,,Arg1/Arg2 depending service
56,EXP_SCALED,MetaMath,True,current,runtime_meta_dispatch.bas,,Arg1/Arg2 depending service
57,POWER,MetaMath,True,current,runtime_meta_dispatch.bas,,Arg1/Arg2 depending service
58,DEG_TO_RAD_SCALED,MetaMath,True,current,runtime_meta_dispatch.bas,,Arg1/Arg2 depending service
59,RAD_TO_DEG,MetaMath,True,current,runtime_meta_dispatch.bas,,Arg1/Arg2 depending service
60,PRINT_ARG2_DECIMAL,MetaIO,True,current,runtime_meta_dispatch.bas,,Arg2/result/stack depending service
61,PRINT_RESULT_DECIMAL,MetaIO,True,current,runtime_meta_dispatch.bas,,Arg2/result/stack depending service
62,PRINT_STACK_POP_DECIMAL,MetaIO,True,current,runtime_meta_dispatch.bas,,Arg2/result/stack depending service
63,READ_DECIMAL,MetaIO,True,current,runtime_meta_dispatch.bas,,Arg2/result/stack depending service
64,PRINT_SPACE,MetaIO,True,current,runtime_meta_dispatch.bas,,Arg2/result/stack depending service
67,PRINT_ARG2_HEX,MetaIO,True,current,runtime_meta_dispatch.bas,,Arg2/result/stack depending service
68,PRINT_ARG2_BIN,MetaIO,True,current,runtime_meta_dispatch.bas,,Arg2/result/stack depending service
69,PRINT_ARG2_CHAR,MetaIO,True,current,runtime_meta_dispatch.bas,,Arg2/result/stack depending service
80,PTR_SET,MetaPointerMemory,True,current,runtime_meta_dispatch.bas,,T-1=Arg2 mostly
81,PTR_ADD,MetaPointerMemory,True,current,runtime_meta_dispatch.bas,,T-1=Arg2 mostly
82,PTR_GET,MetaPointerMemory,True,current,runtime_meta_dispatch.bas,,T-1=Arg2 mostly
83,PTR_VALID,MetaPointerMemory,True,current,runtime_meta_dispatch.bas,,T-1=Arg2 mostly
84,LAYOUT_TAPE_CELLS,MetaPointerMemory,True,current,runtime_meta_dispatch.bas,,T-1=Arg2 mostly
85,LAYOUT_DATA_CELLS,MetaPointerMemory,True,current,runtime_meta_dispatch.bas,,T-1=Arg2 mostly
86,LAYOUT_STACK_CELLS,MetaPointerMemory,True,current,runtime_meta_dispatch.bas,,T-1=Arg2 mostly
87,LAYOUT_CELL_BITS,MetaPointerMemory,True,current,runtime_meta_dispatch.bas,,T-1=Arg2 mostly
88,LAYOUT_CELL_BYTES,MetaPointerMemory,True,current,runtime_meta_dispatch.bas,,T-1=Arg2 mostly
89,LAYOUT_PRINT,MetaPointerMemory,True,current,runtime_meta_dispatch.bas,,T-1=Arg2 mostly
90,FIFO_PUSH,MetaFifoDataSortWild,True,current,runtime_meta_dispatch.bas,,Arg0/Arg1/Arg2 depending service
91,FIFO_POP,MetaFifoDataSortWild,True,current,runtime_meta_dispatch.bas,,Arg0/Arg1/Arg2 depending service
92,FIFO_PEEK,MetaFifoDataSortWild,True,current,runtime_meta_dispatch.bas,,Arg0/Arg1/Arg2 depending service
93,FIFO_COUNT,MetaFifoDataSortWild,True,current,runtime_meta_dispatch.bas,,Arg0/Arg1/Arg2 depending service
94,FIFO_CLEAR,MetaFifoDataSortWild,True,current,runtime_meta_dispatch.bas,,Arg0/Arg1/Arg2 depending service
95,DATA_READ,MetaFifoDataSortWild,True,current,runtime_meta_dispatch.bas,,Arg0/Arg1/Arg2 depending service
96,DATA_WRITE,MetaFifoDataSortWild,True,current,runtime_meta_dispatch.bas,,Arg0/Arg1/Arg2 depending service
97,DATA_DIGIT_ASCII_TO_NUMBER,MetaFifoDataSortWild,True,current,runtime_meta_dispatch.bas,,Arg0/Arg1/Arg2 depending service
98,DATA_BLOCK_COPY,MetaFifoDataSortWild,True,current,runtime_meta_dispatch.bas,,Arg0/Arg1/Arg2 depending service
99,DATA_BLOCK_CLEAR,MetaFifoDataSortWild,True,current,runtime_meta_dispatch.bas,,Arg0/Arg1/Arg2 depending service
100,TAPE_SORT_ASC,MetaFifoDataSortWild,True,current,runtime_meta_dispatch.bas,,Arg0/Arg1/Arg2 depending service
101,TAPE_SORT_DESC,MetaFifoDataSortWild,True,current,runtime_meta_dispatch.bas,,Arg0/Arg1/Arg2 depending service
102,DATA_SORT_ASC,MetaFifoDataSortWild,True,current,runtime_meta_dispatch.bas,,Arg0/Arg1/Arg2 depending service
103,DATA_SORT_DESC,MetaFifoDataSortWild,True,current,runtime_meta_dispatch.bas,,Arg0/Arg1/Arg2 depending service
104,TAPE_LINEAR_SEARCH,MetaFifoDataSortWild,True,current,runtime_meta_dispatch.bas,,Arg0/Arg1/Arg2 depending service
105,DATA_LINEAR_SEARCH,MetaFifoDataSortWild,True,current,runtime_meta_dispatch.bas,,Arg0/Arg1/Arg2 depending service
106,TAPE_BLOCK_COPY,MetaFifoDataSortWild,True,current,runtime_meta_dispatch.bas,,Arg0/Arg1/Arg2 depending service
107,TAPE_BLOCK_CLEAR,MetaFifoDataSortWild,True,current,runtime_meta_dispatch.bas,,Arg0/Arg1/Arg2 depending service
120,SIGNED_MODE_OFF,MetaFifoDataSortWild,True,current,runtime_meta_dispatch.bas,,Arg0/Arg1/Arg2 depending service
121,SIGNED_MODE_ON,MetaFifoDataSortWild,True,current,runtime_meta_dispatch.bas,,Arg0/Arg1/Arg2 depending service
122,SIGNED_MODE_GET,MetaFifoDataSortWild,True,current,runtime_meta_dispatch.bas,,Arg0/Arg1/Arg2 depending service
123,ENDIAN_LITTLE,MetaFifoDataSortWild,True,current,runtime_meta_dispatch.bas,,Arg0/Arg1/Arg2 depending service
124,ENDIAN_BIG,MetaFifoDataSortWild,True,current,runtime_meta_dispatch.bas,,Arg0/Arg1/Arg2 depending service
125,ENDIAN_GET_BIG,MetaFifoDataSortWild,True,current,runtime_meta_dispatch.bas,,Arg0/Arg1/Arg2 depending service
126,FLAGS_GET,MetaFifoDataSortWild,True,current,runtime_meta_dispatch.bas,,Arg0/Arg1/Arg2 depending service
127,WILD_LAYOUT_CHANGE,MetaFifoDataSortWild,True,current,runtime_meta_dispatch.bas,,Arg0/Arg1/Arg2 depending service
130,CMP_EQ_UNSIGNED,MetaFlagsEndian,True,unreachable_current_bug,runtime_meta_dispatch.bas,Case exists in MetaFlagsEndian but dispatcher only sends 150..159 there; @130..149 currently invalid unless dispatch is fixed.,
131,CMP_GT_UNSIGNED,MetaFlagsEndian,True,unreachable_current_bug,runtime_meta_dispatch.bas,Case exists in MetaFlagsEndian but dispatcher only sends 150..159 there; @130..149 currently invalid unless dispatch is fixed.,
132,CMP_LT_UNSIGNED,MetaFlagsEndian,True,unreachable_current_bug,runtime_meta_dispatch.bas,Case exists in MetaFlagsEndian but dispatcher only sends 150..159 there; @130..149 currently invalid unless dispatch is fixed.,
133,CMP_EQ_SIGNED,MetaFlagsEndian,True,unreachable_current_bug,runtime_meta_dispatch.bas,Case exists in MetaFlagsEndian but dispatcher only sends 150..159 there; @130..149 currently invalid unless dispatch is fixed.,
134,CMP_GT_SIGNED,MetaFlagsEndian,True,unreachable_current_bug,runtime_meta_dispatch.bas,Case exists in MetaFlagsEndian but dispatcher only sends 150..159 there; @130..149 currently invalid unless dispatch is fixed.,
135,CMP_LT_SIGNED,MetaFlagsEndian,True,unreachable_current_bug,runtime_meta_dispatch.bas,Case exists in MetaFlagsEndian but dispatcher only sends 150..159 there; @130..149 currently invalid unless dispatch is fixed.,
140,GET_CARRY_FLAG,MetaFlagsEndian,True,unreachable_current_bug,runtime_meta_dispatch.bas,Case exists in MetaFlagsEndian but dispatcher only sends 150..159 there; @130..149 currently invalid unless dispatch is fixed.,
141,SET_CARRY_FLAG,MetaFlagsEndian,True,unreachable_current_bug,runtime_meta_dispatch.bas,Case exists in MetaFlagsEndian but dispatcher only sends 150..159 there; @130..149 currently invalid unless dispatch is fixed.,
142,CLEAR_CARRY_FLAG,MetaFlagsEndian,True,unreachable_current_bug,runtime_meta_dispatch.bas,Case exists in MetaFlagsEndian but dispatcher only sends 150..159 there; @130..149 currently invalid unless dispatch is fixed.,
143,GET_OVERFLOW_FLAG,MetaFlagsEndian,True,unreachable_current_bug,runtime_meta_dispatch.bas,Case exists in MetaFlagsEndian but dispatcher only sends 150..159 there; @130..149 currently invalid unless dispatch is fixed.,
144,SET_OVERFLOW_FLAG,MetaFlagsEndian,True,unreachable_current_bug,runtime_meta_dispatch.bas,Case exists in MetaFlagsEndian but dispatcher only sends 150..159 there; @130..149 currently invalid unless dispatch is fixed.,
145,CLEAR_OVERFLOW_FLAG,MetaFlagsEndian,True,unreachable_current_bug,runtime_meta_dispatch.bas,Case exists in MetaFlagsEndian but dispatcher only sends 150..159 there; @130..149 currently invalid unless dispatch is fixed.,
146,GET_ZERO_FLAG,MetaFlagsEndian,True,unreachable_current_bug,runtime_meta_dispatch.bas,Case exists in MetaFlagsEndian but dispatcher only sends 150..159 there; @130..149 currently invalid unless dispatch is fixed.,
147,GET_SIGN_FLAG,MetaFlagsEndian,True,unreachable_current_bug,runtime_meta_dispatch.bas,Case exists in MetaFlagsEndian but dispatcher only sends 150..159 there; @130..149 currently invalid unless dispatch is fixed.,
148,CLEAR_ZCOS_FLAGS,MetaFlagsEndian,True,unreachable_current_bug,runtime_meta_dispatch.bas,Case exists in MetaFlagsEndian but dispatcher only sends 150..159 there; @130..149 currently invalid unless dispatch is fixed.,
149,FLAGS_GET_ALIAS,MetaFlagsEndian,True,unreachable_current_bug,runtime_meta_dispatch.bas,Case exists in MetaFlagsEndian but dispatcher only sends 150..159 there; @130..149 currently invalid unless dispatch is fixed.,
150,ENDIAN_LITTLE_ALIAS,MetaFlagsEndian,True,current,runtime_meta_dispatch.bas,,T-1/relative tape cells depending service
151,ENDIAN_BIG_ALIAS,MetaFlagsEndian,True,current,runtime_meta_dispatch.bas,,T-1/relative tape cells depending service
152,ENDIAN_GET_BIG_ALIAS,MetaFlagsEndian,True,current,runtime_meta_dispatch.bas,,T-1/relative tape cells depending service
153,WRITE_WORD_ENDIAN,MetaFlagsEndian,True,current,runtime_meta_dispatch.bas,,T-1/relative tape cells depending service
154,READ_WORD_ENDIAN,MetaFlagsEndian,True,current,runtime_meta_dispatch.bas,,T-1/relative tape cells depending service
155,WRITE_DWORD_ENDIAN,MetaFlagsEndian,True,current,runtime_meta_dispatch.bas,,T-1/relative tape cells depending service
156,READ_DWORD_ENDIAN,MetaFlagsEndian,True,current,runtime_meta_dispatch.bas,,T-1/relative tape cells depending service
160,MAT_INIT,MetaMatrix,True,current,runtime_matrix_services.bas,,"T-4=dst, T-3=a, T-2=b, T-1=p1, T=p2"
161,MAT_CLEAR,MetaMatrix,True,current,runtime_matrix_services.bas,,"T-4=dst, T-3=a, T-2=b, T-1=p1, T=p2"
162,MAT_SET,MetaMatrix,True,current,runtime_matrix_services.bas,,"T-4=dst, T-3=a, T-2=b, T-1=p1, T=p2"
163,MAT_GET,MetaMatrix,True,current,runtime_matrix_services.bas,,"T-4=dst, T-3=a, T-2=b, T-1=p1, T=p2"
164,MAT_FILL,MetaMatrix,True,current,runtime_matrix_services.bas,,"T-4=dst, T-3=a, T-2=b, T-1=p1, T=p2"
165,MAT_COPY,MetaMatrix,True,current,runtime_matrix_services.bas,,"T-4=dst, T-3=a, T-2=b, T-1=p1, T=p2"
166,MAT_PRINT,MetaMatrix,True,current,runtime_matrix_services.bas,,"T-4=dst, T-3=a, T-2=b, T-1=p1, T=p2"
167,MAT_ADD,MetaMatrix,True,current,runtime_matrix_services.bas,,"T-4=dst, T-3=a, T-2=b, T-1=p1, T=p2"
168,MAT_SUB,MetaMatrix,True,current,runtime_matrix_services.bas,,"T-4=dst, T-3=a, T-2=b, T-1=p1, T=p2"
169,MAT_SCALAR_MUL,MetaMatrix,True,current,runtime_matrix_services.bas,,"T-4=dst, T-3=a, T-2=b, T-1=p1, T=p2"
170,MAT_MUL,MetaMatrix,True,current,runtime_matrix_services.bas,,"T-4=dst, T-3=a, T-2=b, T-1=p1, T=p2"
171,MAT_TRANSPOSE_COPY,MetaMatrix,True,current,runtime_matrix_services.bas,,"T-4=dst, T-3=a, T-2=b, T-1=p1, T=p2"
172,MAT_IDENTITY,MetaMatrix,True,current,runtime_matrix_services.bas,,"T-4=dst, T-3=a, T-2=b, T-1=p1, T=p2"
173,MAT_TRACE,MetaMatrix,True,current,runtime_matrix_services.bas,,"T-4=dst, T-3=a, T-2=b, T-1=p1, T=p2"
174,MAT_SHAPE,MetaMatrix,True,current,runtime_matrix_services.bas,,"T-4=dst, T-3=a, T-2=b, T-1=p1, T=p2"
175,MAT_DET2,MetaMatrix,True,current,runtime_matrix_services.bas,,"T-4=dst, T-3=a, T-2=b, T-1=p1, T=p2"
176,MAT_PRINT_RAW,MetaMatrix,True,current,runtime_matrix_services.bas,,"T-4=dst, T-3=a, T-2=b, T-1=p1, T=p2"
180,MAT_ND_INIT,UXMMatAdvancedDispatch,True,extension_patch_available,service_registry_matrix_v34.csv,Within matrix dispatcher range; add cases to MetaMatrix or subdispatch.,"T-4 rows, T-3 cols, T-2 outbase"
181,MAT_ND_GET,UXMMatAdvancedDispatch,True,extension_patch_available,service_registry_matrix_v34.csv,Within matrix dispatcher range; add cases to MetaMatrix or subdispatch.,reserved
182,MAT_ND_SET,UXMMatAdvancedDispatch,True,extension_patch_available,service_registry_matrix_v34.csv,Within matrix dispatcher range; add cases to MetaMatrix or subdispatch.,reserved
183,MAT_DET,UXMMatAdvancedDispatch,True,extension_patch_available,service_registry_matrix_v34.csv,Within matrix dispatcher range; add cases to MetaMatrix or subdispatch.,"T-4 A, T+1 determinant"
184,MAT_INVERSE,UXMMatAdvancedDispatch,True,extension_patch_available,service_registry_matrix_v34.csv,Within matrix dispatcher range; add cases to MetaMatrix or subdispatch.,"T-4 A, T-2 OUT"
185,MAT_LU,UXMMatAdvancedDispatch,True,extension_patch_available,service_registry_matrix_v34.csv,Within matrix dispatcher range; add cases to MetaMatrix or subdispatch.,"T-4 A, T-2 L, T-3 U"
186,MAT_QR,UXMMatAdvancedDispatch,True,extension_patch_available,service_registry_matrix_v34.csv,Within matrix dispatcher range; add cases to MetaMatrix or subdispatch.,"T-4 A, T-2 Q, T-3 R"
187,MAT_RANK,UXMMatAdvancedDispatch,True,extension_patch_available,service_registry_matrix_v34.csv,Within matrix dispatcher range; add cases to MetaMatrix or subdispatch.,"T-4 A, T+1 rank"
188,MAT_COND_EST,UXMMatAdvancedDispatch,True,extension_patch_available,service_registry_matrix_v34.csv,Within matrix dispatcher range; add cases to MetaMatrix or subdispatch.,"T-4 A, T-2 temp inverse, T+1 cond"
189,MAT_EIG_POWER,UXMMatAdvancedDispatch,True,extension_patch_available,service_registry_matrix_v34.csv,Within matrix dispatcher range; add cases to MetaMatrix or subdispatch.,"T-4 A, T-2 vector out, T-1 iterations, T+1 lambda"
190,MAT_EIG_JACOBI_SYM,UXMMatAdvancedDispatch,True,extension_patch_available,service_registry_matrix_v34.csv,Within matrix dispatcher range; add cases to MetaMatrix or subdispatch.,planned
191,MAT_SVD_SYM_HELPER,UXMMatAdvancedDispatch,True,extension_patch_available,service_registry_matrix_v34.csv,Within matrix dispatcher range; add cases to MetaMatrix or subdispatch.,planned
192,MAT_SPARSE_CSR_INIT,UXMMatAdvancedDispatch,True,extension_patch_available,service_registry_matrix_v34.csv,Within matrix dispatcher range; add cases to MetaMatrix or subdispatch.,"T-4 rows, T-3 cols, T-1 nnz, T-2 outbase"
193,MAT_SPARSE_CSR_MV,UXMMatAdvancedDispatch,True,extension_patch_available,service_registry_matrix_v34.csv,Within matrix dispatcher range; add cases to MetaMatrix or subdispatch.,planned
194,MAT_SPARSE_TO_DENSE,UXMMatAdvancedDispatch,True,extension_patch_available,service_registry_matrix_v34.csv,Within matrix dispatcher range; add cases to MetaMatrix or subdispatch.,planned
195,MAT_DENSE_TO_SPARSE,UXMMatAdvancedDispatch,True,extension_patch_available,service_registry_matrix_v34.csv,Within matrix dispatcher range; add cases to MetaMatrix or subdispatch.,planned
196,MAT_TRACE,UXMMatAdvancedDispatch,True,extension_patch_available,service_registry_matrix_v34.csv,Within matrix dispatcher range; add cases to MetaMatrix or subdispatch.,"T-4 A, T+1 trace"
197,MAT_FROBENIUS,UXMMatAdvancedDispatch,True,extension_patch_available,service_registry_matrix_v34.csv,Within matrix dispatcher range; add cases to MetaMatrix or subdispatch.,"T-4 A, T+1 norm"
198,MAT_NORM_INF,UXMMatAdvancedDispatch,True,extension_patch_available,service_registry_matrix_v34.csv,Within matrix dispatcher range; add cases to MetaMatrix or subdispatch.,"T-4 A, T+1 norm"
199,MAT_ADV_INFO,UXMMatAdvancedDispatch,True,extension_patch_available,service_registry_matrix_v34.csv,Within matrix dispatcher range; add cases to MetaMatrix or subdispatch.,prints info
200,FP_INIT16,MetaFloatingPoint,True,current,runtime_fp_services.bas,,"T-2=rBase, T-1=aBase, T=bBase pattern"
201,FP_INIT32,MetaFloatingPoint,True,current,runtime_fp_services.bas,,"T-2=rBase, T-1=aBase, T=bBase pattern"
202,FP_ZERO,MetaFloatingPoint,True,current,runtime_fp_services.bas,,"T-2=rBase, T-1=aBase, T=bBase pattern"
203,FP_COPY,MetaFloatingPoint,True,current,runtime_fp_services.bas,,"T-2=rBase, T-1=aBase, T=bBase pattern"
204,FP_NORMALIZE_STORE,MetaFloatingPoint,True,current,runtime_fp_services.bas,,"T-2=rBase, T-1=aBase, T=bBase pattern"
205,FP_TO_INT,MetaFloatingPoint,True,current,runtime_fp_services.bas,,"T-2=rBase, T-1=aBase, T=bBase pattern"
206,FP_IS_ZERO,MetaFloatingPoint,True,current,runtime_fp_services.bas,,"T-2=rBase, T-1=aBase, T=bBase pattern"
207,FP_SIGN,MetaFloatingPoint,True,current,runtime_fp_services.bas,,"T-2=rBase, T-1=aBase, T=bBase pattern"
208,FP_ABS_TO_INT,MetaFloatingPoint,True,current,runtime_fp_services.bas,,"T-2=rBase, T-1=aBase, T=bBase pattern"
209,FP_PRINT_RAW,MetaFloatingPoint,True,current,runtime_fp_services.bas,,"T-2=rBase, T-1=aBase, T=bBase pattern"
210,FP_ADD,MetaFloatingPoint,True,current,runtime_fp_services.bas,,"T-2=rBase, T-1=aBase, T=bBase pattern"
211,FP_SUB,MetaFloatingPoint,True,current,runtime_fp_services.bas,,"T-2=rBase, T-1=aBase, T=bBase pattern"
212,FP_MUL,MetaFloatingPoint,True,current,runtime_fp_services.bas,,"T-2=rBase, T-1=aBase, T=bBase pattern"
213,FP_DIV,MetaFloatingPoint,True,current,runtime_fp_services.bas,,"T-2=rBase, T-1=aBase, T=bBase pattern"
214,FP_COMPARE,MetaFloatingPoint,True,current,runtime_fp_services.bas,,"T-2=rBase, T-1=aBase, T=bBase pattern"
215,FP_ABS,MetaFloatingPoint,True,current,runtime_fp_services.bas,,"T-2=rBase, T-1=aBase, T=bBase pattern"
216,FP_NEG,MetaFloatingPoint,True,current,runtime_fp_services.bas,,"T-2=rBase, T-1=aBase, T=bBase pattern"
217,FP_ROUND16,MetaFloatingPoint,True,current,runtime_fp_services.bas,,"T-2=rBase, T-1=aBase, T=bBase pattern"
218,FP_ROUND32,MetaFloatingPoint,True,current,runtime_fp_services.bas,,"T-2=rBase, T-1=aBase, T=bBase pattern"
219,FP_TRUNC,MetaFloatingPoint,True,current,runtime_fp_services.bas,,"T-2=rBase, T-1=aBase, T=bBase pattern"
220,FP_FROM_INT,MetaFloatingPoint,True,current,runtime_fp_services.bas,,"T-2=rBase, T-1=aBase, T=bBase pattern"
221,FP_FROM_DEC_STRING,MetaFloatingPoint,True,current,runtime_fp_services.bas,,"T-2=rBase, T-1=aBase, T=bBase pattern"
222,FP_TO_DEC_STRING,MetaFloatingPoint,True,current,runtime_fp_services.bas,,"T-2=rBase, T-1=aBase, T=bBase pattern"
223,FP_PRINT_DECIMAL,MetaFloatingPoint,True,current,runtime_fp_services.bas,,"T-2=rBase, T-1=aBase, T=bBase pattern"
224,FP_SCALE10,MetaFloatingPoint,True,current,runtime_fp_services.bas,,"T-2=rBase, T-1=aBase, T=bBase pattern"
230,FP_COMPARE_ABS,MetaFloatingPoint,True,current,runtime_fp_services.bas,Abs compare returns -1/0/1 in result,"T-2=rBase, T-1=aBase, T=bBase pattern"
231,FP_MIN,MetaFloatingPoint,True,current,runtime_fp_services.bas,rBase=min(a,b),"T-2=rBase, T-1=aBase, T=bBase pattern"
232,FP_MAX,MetaFloatingPoint,True,current,runtime_fp_services.bas,rBase=max(a,b),"T-2=rBase, T-1=aBase, T=bBase pattern"
233,FP_SIGNUM,MetaFloatingPoint,True,current,runtime_fp_services.bas,Signum of aBase as -1/0/1 in result,"T-2=rBase, T-1=aBase, T=bBase pattern"
234,FP_GE,MetaFloatingPoint,True,current,runtime_fp_services.bas,Boolean result 1 when aBase>=bBase else 0,"T-2=rBase, T-1=aBase, T=bBase pattern"
240,POLY_DERIVATIVE,MetaMathExtra,True,current,runtime_math_services.bas,,T-frame/data object depending service
241,POLY_INTEGRAL,MetaMathExtra,True,current,runtime_math_services.bas,,T-frame/data object depending service
242,POLY_EVAL,MetaMathExtra,True,current,runtime_math_services.bas,,T-frame/data object depending service
243,POLY_PRINT,MetaMathExtra,True,current,runtime_math_services.bas,,T-frame/data object depending service
244,POLY_CLEAR,MetaMathExtra,True,current,runtime_math_services.bas,,T-frame/data object depending service
250,EXPR_RPN_EVAL,MetaMathExtra,True,current,runtime_math_services.bas,,T-frame/data object depending service
251,NUM_DERIV,MetaMathExtra,True,current,runtime_math_services.bas,,T-frame/data object depending service
252,INTEGRAL_TRAPEZOID,MetaMathExtra,True,current,runtime_math_services.bas,,T-frame/data object depending service
253,INTEGRAL_SIMPSON,MetaMathExtra,True,current,runtime_math_services.bas,,T-frame/data object depending service
254,EXPR_RPN_PRINT,MetaMathExtra,True,current,runtime_math_services.bas,,T-frame/data object depending service
260,STAT_COUNT,MetaStatistics,True,extension_requires_meta_id_range_patch,service_registry_v33.csv,count values,
261,STAT_SUM,MetaStatistics,True,extension_requires_meta_id_range_patch,service_registry_v33.csv,sum values,
262,STAT_MEAN,MetaStatistics,True,extension_requires_meta_id_range_patch,service_registry_v33.csv,mean,
263,STAT_MIN,MetaStatistics,True,extension_requires_meta_id_range_patch,service_registry_v33.csv,min,
264,STAT_MAX,MetaStatistics,True,extension_requires_meta_id_range_patch,service_registry_v33.csv,max,
265,STAT_RANGE,MetaStatistics,True,extension_requires_meta_id_range_patch,service_registry_v33.csv,max-min,
266,STAT_VARIANCE,MetaStatistics,True,extension_requires_meta_id_range_patch,service_registry_v33.csv,sample variance,
267,STAT_STDDEV,MetaStatistics,True,extension_requires_meta_id_range_patch,service_registry_v33.csv,sample stddev,
